CompoundCode,CompoundSMILES,CompoundConcentration,LibraryPlate,CrystalName,MountingResult,DataCollectionOutcome,DataProcessingResolutionHigh,RefinementOutcome,has_syndirella_name,base_name,crystal_hit,CAR,KD,KD_sd,KD_sem,kd_off_rate,kd_off_rate_sd,kd_off_rate1,kd_off_rate2,hit1,hit2,chainA_exp_predicted_RMSD,chainB_exp_predicted_RMSD,v2_chainA_exp_predicted_RMSD,v2_chainB_exp_predicted_RMSD
Ric8enhan-3-frag-placed-593,Cc1cnc2c(S(=O)(=O)Nc3ccc(Oc4ccc(F)cc4)cc3)cccc2c1,9,NCS1-sulf,NCS1-x0986,OK: No comment:No comment,FALSE,0.0,1 - Analysis Pending,True,Ric8enhancer-3,False,True,465.9280217,756.2019895,308.7182,0.46,0.35,,,x0125-0A,x0580-0A,,,,
Ric8inhib-1-frag-placed-786,C#Cc1cc(NC(=O)c2cc(S(=O)(=O)N3CCOCC3)oc2C)ccc1F,9,NCS1-am-set-1,NCS1-x0938,OK: No comment:No comment,success,3.103,3 - In Refinement,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,
D2R-12-frag-placed-1344,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)NC(CCS(C)(=O)=O)c2nc(-c3ccccn3)no2)c1I,9,NCS1-am-set-1,NCS1-x0939,OK: No comment:No comment,success,1.997,2 - PANDDA model,True,D2R-12,False,True,,,,,,,,x0252-2B,x0485-0A,,,,
Ric8inhib-1-frag-placed-929,Cc1oc(S(=O)(=O)N2CCOCC2)cc1C(=O)Nc1c(N)cc(F)cc1F,9,NCS1-am-set-1,NCS1-x0940,OK: No comment:No comment,success,2.007,3 - In Refinement,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,
Ric8inhib-1-frag-placed-255,Cc1oc(S(=O)(=O)N(C)C)cc1C(=O)Nc1ccc(F)c2cn[nH]c12,9,NCS1-am-set-1,FALSE,FAIL: No comment:No comment,FALSE,0.0,5 - Deposition ready,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,
D2R-12-frag-placed-153,CC(=O)Nc1cc(C(=O)N2CC(F)CC2c2nc(-c3ccccn3)no2)cc(NC(C)=O)c1C,9,NCS1-am-set-1,NCS1-x0941,OK: No comment:No comment,success,1.958,3 - In Refinement,True,D2R-12,False,True,,,,,,,,x0252-2B,x0485-0A,,,,
Ric8inhib-1-frag-placed-1564,Cc1oc(S(=O)(=O)N2CCCC2)cc1C(=O)Nc1c(N)c(Br)cc(F)c1Br,9,NCS1-am-set-1,NCS1-x0942,OK: No comment:No comment,success,2.111,3 - In Refinement,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,
Ric8inhib-1-frag-placed-893,Cc1oc(S(=O)(=O)N2CCOCC2)cc1C(=O)Nc1ccc(F)c(CO)c1,9,NCS1-am-set-1,NCS1-x0943,OK: No comment:No comment,Failed - low resolution,3.77,2 - PANDDA model,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,
Ric8inhib-1-frag-placed-900,Cc1oc(S(=O)(=O)N2CCCC2)cc1C(=O)Nc1ccc(F)c2cn[nH]c12,9,NCS1-am-set-1,NCS1-x0944,OK: No comment:No comment,success,1.762,3 - In Refinement,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,
Ric8inhib-1-frag-placed-1092,CC(=O)c1cc(NC(=O)c2cc(S(=O)(=O)N3CCCC3)oc2C)ccc1F,9,NCS1-am-set-1,NCS1-x0945,OK: No comment:No comment,FALSE,0.0,2 - PANDDA model,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,
Ric8inhib-1-frag-placed-1595,Cc1oc(S(=O)(=O)N2CCCCC2)cc1C(=O)Nc1c(N)cc(F)c(F)c1F,9,NCS1-am-set-1,NCS1-x0946,OK: No comment:No comment,FALSE,0.0,1 - Analysis Pending,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,
Ric8inhib-1-frag-placed-386,Cc1oc(S(=O)(=O)N(C)C)cc1C(=O)Nc1ccc(F)cc1C(C)C,9,NCS1-am-set-1,NCS1-x0947,OK: No comment:No comment,FALSE,0.0,1 - Analysis Pending,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,
Ric8inhib-1-frag-placed-638,Cc1oc(S(=O)(=O)N2CCCC2)cc1C(=O)Nc1cc(F)c(F)cc1N,9,NCS1-am-set-1,FALSE,FAIL: No comment:No comment,FALSE,0.0,5 - Deposition ready,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,
Ric8inhib-1-frag-placed-324,Cc1oc(S(=O)(=O)N(C)C)cc1C(=O)Nc1c(Br)cc(F)c(F)c1F,9,NCS1-am-set-1,NCS1-x0948,OK: No comment:No comment,Failed - low resolution,5.53,1 - Analysis Pending,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,
Ric8inhib-1-frag-placed-689,Cc1cc(NC(=O)c2cc(S(=O)(=O)N3CCCCC3)oc2C)cc(C)c1F,9,NCS1-am-set-1,NCS1-x0949,OK: No comment:No comment,FALSE,0.0,1 - Analysis Pending,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,
CSSS00121613715-x0071-0B-x0119-2B-frag-118,Cc1c(C(=O)N2CCN(C3c4ccccc4-c4ccccc43)CC2)sc2c(Cl)cccc12,9,NCS1-am-set-1,NCS1-x0950,OK: No comment:No comment,success,2.04,3 - In Refinement,True,Ric8inhibitor-3,False,True,,,,,,,,x0071-0B,x0119-2B,,,,
Ric8inhib-1-frag-placed-446,Cc1oc(S(=O)(=O)N2CCCC2)cc1C(=O)N(C)c1ccc(F)cc1N,9,NCS1-am-set-1,NCS1-x0951,OK: No comment:No comment,success,2.268,2 - PANDDA model,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,
Ric8inhib-1-frag-placed-343,Cc1oc(S(=O)(=O)N2CCOCC2)cc1C(=O)Nc1ccc(F)cc1,9,NCS1-am-set-1,FALSE,FAIL: No comment:No comment,FALSE,0.0,5 - Deposition ready,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,
Ric8inhib-1-frag-placed-135,Cc1oc(S(=O)(=O)N(C)C)cc1C(=O)N(N)c1ccc(F)cc1Cl,9,NCS1-am-set-1,NCS1-x0952,OK: No comment:No comment,success,2.21,1 - Analysis Pending,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,
Ric8inhib-1-frag-placed-76,Cc1oc(S(=O)(=O)N(C)C)cc1C(=O)Nc1ccc(F)c(C)c1C,9,NCS1-am-set-1,NCS1-x0953,OK: No comment:No comment,success,1.853,1 - Analysis Pending,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,
Ric8inhib-1-frag-placed-1681,Cc1oc(S(=O)(=O)N2CCCCC2)cc1C(=O)Nc1c(Br)cc(F)c(Cl)c1Br,9,NCS1-am-set-1,NCS1-x0954,OK: No comment:No comment,FALSE,0.0,1 - Analysis Pending,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,
Ric8inhib-1-frag-placed-564,Cc1oc(S(=O)(=O)N2CCCCC2)cc1C(=O)Nc1ccc(F)cc1O,9,NCS1-am-set-1,NCS1-x0955,OK: No comment:No comment,success,2.096,1 - Analysis Pending,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,
Ric8inhib-1-frag-placed-1458,Cc1oc(S(=O)(=O)N2CCOCC2)cc1C(=O)Nc1ccc(F)c2cn[nH]c12,9,NCS1-am-set-1,NCS1-x0956,OK: No comment:No comment,FALSE,0.0,1 - Analysis Pending,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,
Ric8inhib-1-frag-placed-854,Cc1oc(S(=O)(=O)N2CCOCC2)cc1C(=O)Nc1ccc(F)c(I)c1F,9,NCS1-am-set-1,FALSE,FAIL: No comment:No comment,FALSE,0.0,5 - Deposition ready,True,Ric8inhibitor-1,True,True,,,,,,,,x0119-2B,x0311-1A,,4.450297,,
Ric8inhib-1-frag-placed-792,Cc1oc(S(=O)(=O)N2CCCCC2)cc1C(=O)Nc1ccc(F)c(C)c1F,9,NCS1-am-set-1,FALSE,FAIL: No comment:No comment,FALSE,0.0,FALSE,True,Ric8inhibitor-1,True,True,,,,,,,,x0119-2B,x0311-1A,5.542317,4.876136,,
Ric8inhib-1-frag-placed-1895,COc1cc([N+](=O)[O-])c(NC(=O)c2cc(S(=O)(=O)N3CCOCC3)oc2C)cc1F,9,NCS1-am-set-1,NCS1-x0957,OK: No comment:No comment,success,2.82,1 - Analysis Pending,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,
CSSS00121613715-x0071-0B-x0119-2B-frag-15,O=C(c1sc2ccccc2c1Cl)N1CCN(C2c3ccccc3-c3ccccc32)CC1,9,NCS1-am-set-1,NCS1-x0958,OK: No comment:No comment,success,3.58,1 - Analysis Pending,True,Ric8inhibitor-3,False,True,,,,,,,,x0071-0B,x0119-2B,,,,
Ric8inhib-1-frag-placed-1259,Cc1oc(S(=O)(=O)N2CCOCC2)cc1C(=O)Nc1c(Br)cc(F)c(Cl)c1Br,9,NCS1-am-set-1,NCS1-x0959,OK: No comment:No comment,FALSE,0.0,1 - Analysis Pending,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,
Ric8inhib-1-frag-placed-1663,CNc1cc(F)cc(Br)c1NC(=O)c1cc(S(=O)(=O)N2CCCCC2)oc1C,9,NCS1-am-set-1,FALSE,FAIL: No comment:No comment,FALSE,0.0,FALSE,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,
Ric8inhib-1-frag-placed-1568,Cc1oc(S(=O)(=O)N2CCCC2)cc1C(=O)Nc1cc(Br)c(F)cc1C(=O)O,9,NCS1-am-set-1,NCS1-x0960,OK: No comment:No comment,FALSE,0.0,1 - Analysis Pending,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,
Ric8inhib-1-frag-placed-1198,COc1cc(NC(=O)c2cc(S(=O)(=O)N3CCCC3)oc2C)c(Cl)cc1F,9,NCS1-am-set-1,NCS1-x0961,OK: No comment:No comment,FALSE,0.0,1 - Analysis Pending,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,
CSSS00121613715-x0071-0B-x0119-2B-frag-73,Cc1c(C(=O)N2CCN(C3c4ccccc4-c4ccccc43)CC2)sc2cccc(Cl)c12,9,NCS1-am-set-1,NCS1-x0962,OK: No comment:No comment,success,2.055,1 - Analysis Pending,True,Ric8inhibitor-3,False,True,,,,,,,,x0071-0B,x0119-2B,,,,
Ric8inhib-1-frag-placed-66,Cc1cc(NC(=O)c2cc(S(=O)(=O)N(C)C)oc2C)c(Cl)cc1F,9,NCS1-am-set-1,NCS1-x0963,OK: No comment:No comment,success,0.82,1 - Analysis Pending,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,
Ric8inhib-1-frag-placed-996,Cc1oc(S(=O)(=O)N2CCOCC2)cc1C(=O)N(C)c1ccc(F)cc1Br,9,NCS1-am-set-1,NCS1-x0964,OK: No comment:No comment,Failed - low resolution,3.67,1 - Analysis Pending,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,
Ric8inhib-1-frag-placed-6,Cc1oc(S(=O)(=O)N(C)C)cc1C(=O)Nc1ccc(F)cc1Cl,9,NCS1-am-set-1,NCS1-x0965,OK: No comment:No comment,FALSE,0.0,1 - Analysis Pending,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,
Ric8inhib-1-frag-placed-1352,Cc1oc(S(=O)(=O)N2CCOCC2)cc1C(=O)Nc1ccc(F)cc1[N+](=O)[O-],9,NCS1-am-set-1,NCS1-x0966,OK: No comment:No comment,success,2.151,1 - Analysis Pending,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,
Ric8inhib-1-frag-placed-1606,Cc1oc(S(=O)(=O)N2CCCCC2)cc1C(=O)Nc1cc(F)c(F)cc1C#N,9,NCS1-am-set-1,NCS1-x0967,OK: No comment:No comment,success,2.892,1 - Analysis Pending,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,
Ric8inhib-1-frag-placed-1384,Cc1oc(S(=O)(=O)N2CCOCC2)cc1C(=O)Nc1c(F)cc(F)cc1C#N,9,NCS1-am-set-1,NCS1-x0968,OK: No comment:No comment,FALSE,0.0,1 - Analysis Pending,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,
Ric8inhib-1-frag-placed-1459,COc1cc(F)cc(Br)c1NC(=O)c1cc(S(=O)(=O)N2CCOCC2)oc1C,9,NCS1-am-set-1,NCS1-x0969,OK: No comment:No comment,Failed - low resolution,3.52,1 - Analysis Pending,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,
Ric8inhib-1-frag-placed-1579,Cc1oc(S(=O)(=O)N2CCCCC2)cc1C(=O)Nc1cc(N)c(Br)cc1F,9,NCS1-am-set-1,FALSE,FAIL: No comment:No comment,FALSE,0.0,FALSE,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,
CSSB03437012178-x0119-0B-x0128-0B-frag-301,COc1ccc2cc(C(=O)NCC(c3cc4ccccc4o3)N(C)C)n(C(=O)c3cccc(C#N)c3O)c2c1,9,NCS1-am-set-1,NCS1-x0970,OK: No comment:No comment,success,1.897,1 - Analysis Pending,True,CB1R-5,False,True,,,,,,,,x0119-0B,x0128-0B,,,,
Ric8inhib-1-frag-placed-334,Cc1oc(S(=O)(=O)N(C)C)cc1C(=O)Nc1cc(F)cc(F)c1N,9,NCS1-am-set-1,NCS1-x0971,OK: No comment:No comment,success,1.965,1 - Analysis Pending,True,Ric8inhibitor-1,False,True,,,,1.305,0.091923882,1.24,1.37,x0119-2B,x0311-1A,,,,
Ric8inhib-1-frag-placed-38,Cc1oc(S(=O)(=O)N(C)C)cc1C(=O)Nc1c(N)cc(F)cc1Br,9,NCS1-am-set-1,NCS1-x0972,OK: No comment:No comment,success,2.239,1 - Analysis Pending,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,
Ric8inhib-1-frag-placed-1648,Cc1oc(S(=O)(=O)N2CCCCC2)cc1C(=O)N(c1ccc(F)cc1)C(C)C,9,NCS1-am-set-1,FALSE,FAIL: No comment:No comment,FALSE,0.0,FALSE,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,
D2R-12-frag-placed-447,CCC(=O)Nc1cc(NC(=O)CC)cc(C(=O)NC(CCSC)c2nc(-c3ccccn3)no2)c1,9,NCS1-am-set-1,FALSE,FAIL: No comment:No comment,FALSE,0.0,FALSE,True,D2R-12,False,True,,,,,,,,x0252-2B,x0485-0A,,,,
D2R-12-frag-placed-83,O=C(NCc1nc(-c2ccccn2)no1)c1cc(N2CCCC2=O)cc(N2CCCC2=O)c1,9,NCS1-am-set-1,FALSE,FAIL: No comment:No comment,FALSE,0.0,FALSE,True,D2R-12,False,True,,,,,,,,x0252-2B,x0485-0A,,,,
Ric8inhib-1-frag-placed-978,Cc1cc(F)c(F)cc1NC(=O)c1cc(S(=O)(=O)N2CCOCC2)oc1C,9,NCS1-am-set-1,FALSE,FAIL: No comment:No comment,FALSE,0.0,FALSE,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,
CSSB03437012178-x0119-0B-x0128-0B-frag-281,COc1ccc2cc(C(=O)NCC(c3cc4ccccc4o3)N(C)C)n(C(=O)c3cc(F)cc(C#N)c3)c2c1,9,NCS1-am-set-1,NCS1-x0973,OK: No comment:No comment,success,3.257,1 - Analysis Pending,True,CB1R-5,False,True,,,,,,,,x0119-0B,x0128-0B,,,,
D2R-12-frag-placed-112,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)N(C)Cc2nc(-c3ccccn3)no2)c1I,9,NCS1-am-batch-1,NCS1-x1008,OK: No comment:No comment,success,3.12,3 - In Refinement,True,D2R-12,False,True,,,,,,,,x0252-2B,x0485-0A,,,,
D2R-12-frag-placed-527,CSCCC(NC(=O)c1c(I)c(NC(C)=O)c(I)c(NC(C)=O)c1I)c1nc(-c2ccccn2)no1,9,NCS1-am-batch-1,NCS1-x1010,OK: No comment:No comment,FALSE,0.0,2 - PANDDA model,True,D2R-12,False,True,,,,,,,,x0252-2B,x0485-0A,,,,
D2R-12-frag-placed-10,CC(=O)Nc1cc(C(=O)N(C)Cc2nc(-c3ccccn3)no2)cc(NC(C)=O)c1C,9,NCS1-am-batch-1,NCS1-x1011,OK: No comment:No comment,FALSE,0.0,1 - Analysis Pending,True,D2R-12,False,True,,,,,,,,x0252-2B,x0485-0A,,,,
D2R-12-frag-placed-599,CC(=O)Nc1cc(C(=O)NC(CCS(C)(=O)=O)c2nc(-c3ccccn3)no2)cc(NC(C)=O)c1C,9,NCS1-am-batch-1,NCS1-x1012,OK: No comment:No comment,success,1.755,1 - Analysis Pending,True,D2R-12,False,True,,,,,,,,x0252-2B,x0485-0A,,,,
D2R-12-frag-placed-495,CC(=O)Nc1cc(NC(C)=O)c([N+](=O)[O-])c(C(=O)N2CC(F)CC2c2nc(-c3ccccn3)no2)c1,9,NCS1-am-batch-1,NCS1-x1014,OK: No comment:No comment,success,1.897,1 - Analysis Pending,True,D2R-12,False,True,,,,,,,,x0252-2B,x0485-0A,,,,
D2R-12-frag-placed-62,CC(=O)Nc1cc(NC(C)=O)c([N+](=O)[O-])c(C(=O)NCc2nc(-c3ccccn3)no2)c1,9,NCS1-am-batch-1,NCS1-x1015,OK: No comment:No comment,FALSE,0.0,1 - Analysis Pending,True,D2R-12,False,True,,,,,,,,x0252-2B,x0485-0A,,,,
D2R-12-frag-placed-20,CC(=O)Nc1cc(NC(C)=O)c(C)c(C(=O)N(C)Cc2nc(-c3ccccn3)no2)c1,9,NCS1-am-batch-1,NCS1-x1016,OK: No comment:No comment,success,1.605,1 - Analysis Pending,True,D2R-12,False,True,,,,,,,,x0252-2B,x0485-0A,,,,
D2R-12-frag-placed-624,CC(=O)Nc1cc(NC(C)=O)c(C)c(C(=O)NC(CCS(C)(=O)=O)c2nc(-c3ccccn3)no2)c1,9,NCS1-am-batch-1,NCS1-x1017,OK: No comment:No comment,success,1.961,3 - In Refinement,True,D2R-12,False,True,,,,,,,,x0252-2B,x0485-0A,,,,
D2R-12-frag-placed-3,CC(=O)Nc1cc(NC(C)=O)cc(C(=O)N(C)Cc2nc(-c3ccccn3)no2)c1,9,NCS1-am-batch-1,NCS1-x1018,OK: No comment:No comment,success,1.657,1 - Analysis Pending,True,D2R-12,False,True,,,,,,,,x0252-2B,x0485-0A,,,,
D2R-12-frag-placed-425,CC(=O)Nc1cc(NC(C)=O)cc(C(=O)NC(CCS(C)(=O)=O)c2nc(-c3ccccn3)no2)c1,9,NCS1-am-batch-1,NCS1-x1019,OK: No comment:No comment,success,1.789,3 - In Refinement,True,D2R-12,False,True,,,,,,,,x0252-2B,x0485-0A,,,,
D2R-12-frag-placed-126,CSCCC(NC(=O)c1cc(NC(C)=O)cc(NC(C)=O)c1)c1nc(-c2ccccn2)no1,9,NCS1-am-batch-1,NCS1-x1020,OK: No comment:No comment,success,4.05,7 - Analysed & Rejected,True,D2R-12,False,True,,,,,,,,x0252-2B,x0485-0A,,,,
D2R-12-frag-placed-206,CC(C)C(=O)Nc1cc(NC(=O)C(C)C)cc(C(=O)N(C)Cc2nc(-c3ccccn3)no2)c1,9,NCS1-am-batch-1,NCS1-x1022,OK: No comment:No comment,success,2.09,1 - Analysis Pending,True,D2R-12,False,True,,,,,,,,x0252-2B,x0485-0A,,,,
D2R-12-frag-placed-1456,CC(C)C(=O)Nc1cc(NC(=O)C(C)C)cc(C(=O)NC(CCS(C)(=O)=O)c2nc(-c3ccccn3)no2)c1,9,NCS1-am-batch-1,NCS1-x1023,OK: No comment:No comment,success,2.624,1 - Analysis Pending,True,D2R-12,False,True,,,,,,,,x0252-2B,x0485-0A,,,,
D2R-12-frag-placed-735,CSCCC(NC(=O)c1cc(NC(=O)C(C)C)cc(NC(=O)C(C)C)c1)c1nc(-c2ccccn2)no1,9,NCS1-am-batch-1,NCS1-x1024,OK: No comment:No comment,success,1.849,1 - Analysis Pending,True,D2R-12,False,True,,,,,,,,x0252-2B,x0485-0A,,,,
D2R-12-frag-placed-765,CC(C)C(=O)Nc1cc(NC(=O)C(C)C)cc(C(=O)N2CC(F)CC2c2nc(-c3ccccn3)no2)c1,9,NCS1-am-batch-1,NCS1-x1025,OK: No comment:No comment,success,2.043,1 - Analysis Pending,True,D2R-12,False,True,,,,,,,,x0252-2B,x0485-0A,,,,
D2R-12-frag-placed-84,CC(C)C(=O)Nc1cc(NC(=O)C(C)C)cc(C(=O)NCc2nc(-c3ccccn3)no2)c1,9,NCS1-am-batch-1,NCS1-x1026,OK: No comment:No comment,FALSE,0.0,1 - Analysis Pending,True,D2R-12,False,True,,,,,,,,x0252-2B,x0485-0A,,,,
CSSS00121613715-x0071-0B-x0119-2B-frag-8,Cc1c(C(=O)N2CCN(C3c4ccccc4-c4ccccc43)CC2)sc2ccccc12,9,NCS1-am-batch-1,NCS1-x1029,OK: No comment:No comment,success,3.04,3 - In Refinement,True,Ric8inhibitor-3,False,True,,,,,,,,x0071-0B,x0119-2B,,,,
CSSS00121613715-x0071-0B-x0119-2B-frag-89,Cc1ccc2c(Cl)c(C(=O)N3CCN(C4c5ccccc5-c5ccccc54)CC3)sc2c1,9,NCS1-am-batch-1,NCS1-x1030,OK: No comment:No comment,success,2.044,3 - In Refinement,True,Ric8inhibitor-3,False,True,,,,,,,,x0071-0B,x0119-2B,,,,
