CompoundCode,CompoundSMILES,CompoundConcentration,LibraryPlate,CrystalName,MountingResult,DataCollectionOutcome,DataProcessingResolutionHigh,RefinementOutcome,has_syndirella_name,base_name,crystal_hit,CAR,KD,KD_sd,KD_sem,kd_off_rate,kd_off_rate_sd,kd_off_rate1,kd_off_rate2,hit1,hit2,chainA_exp_predicted_RMSD,chainB_exp_predicted_RMSD,v2_chainA_exp_predicted_RMSD,v2_chainB_exp_predicted_RMSD,measurable_affinity,X,Y
Ric8enhan-3-frag-placed-11,O=S(=O)(Nc1ccc(Oc2ccc(F)cc2)cc1)c1cccc2cccnc12,9,NCS1-sulf,NCS1-x0982,OK: No comment:No comment,success,3.69,3 - In Refinement,True,Ric8enhancer-3,False,True,287.7497351,328.5639523,124.1855,0.94,0.65,,,x0125-0A,x0580-0A,,,,,True,29.213055,1.789402
Ric8enhan-3-frag-placed-524,Cc1cnc2c(S(=O)(=O)Nc3ccc(Oc4ccccc4F)cc3)cccc2c1,9,NCS1-sulf,NCS1-x0983,OK: No comment:No comment,success,2.887,3 - In Refinement,True,Ric8enhancer-3,False,True,,,,0.71,0.49,,,x0125-0A,x0580-0A,,,,,True,31.151005,1.8651514
Ric8enhan-3-frag-placed-10,O=S(=O)(Nc1ccc(Oc2ccccc2F)cc1)c1cccc2cccnc12,9,NCS1-sulf,NCS1-x0984,OK: No comment:No comment,FALSE,0.0,2 - PANDDA model,True,Ric8enhancer-3,False,True,499.2668441,599.2242348,180.6729,0.95,0.42,,,x0125-0A,x0580-0A,,,,,True,29.178225,2.3401148
Ric8enhan-3-frag-placed-36,Cc1cnc2c(S(=O)(=O)Nc3ccc(Oc4ccccc4)cc3)cccc2c1,9,NCS1-sulf,NCS1-x0985,OK: No comment:No comment,FALSE,0.0,1 - Analysis Pending,True,Ric8enhancer-3,False,True,,,,0.82,0.61,,,x0125-0A,x0580-0A,,,,,True,31.79187,2.1353788
Ric8enhan-3-frag-placed-441,Cc1cnc2c(S(=O)(=O)Nc3ccc(Oc4ccccc4)c(Cl)c3)cccc2c1,9,NCS1-sulf,FALSE,FAIL: No comment:No comment,FALSE,0.0,5 - Deposition ready,True,Ric8enhancer-3,False,True,205.0643486,64.23420278,21.4114,1.15,0.72,,,x0125-0A,x0580-0A,,,,,True,31.562016,3.2072818
Ric8enhan-3-frag-placed-593,Cc1cnc2c(S(=O)(=O)Nc3ccc(Oc4ccc(F)cc4)cc3)cccc2c1,9,NCS1-sulf,NCS1-x0986,OK: No comment:No comment,FALSE,0.0,1 - Analysis Pending,True,Ric8enhancer-3,False,True,465.9280217,756.2019895,308.7182,0.46,0.35,,,x0125-0A,x0580-0A,,,,,True,31.294037,1.1972889
Ric8inhib-1-frag-placed-786,C#Cc1cc(NC(=O)c2cc(S(=O)(=O)N3CCOCC3)oc2C)ccc1F,9,NCS1-am-set-1,NCS1-x0938,OK: No comment:No comment,success,3.103,3 - In Refinement,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,,False,-6.4465485,16.156237
D2R-12-frag-placed-1344,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)NC(CCS(C)(=O)=O)c2nc(-c3ccccn3)no2)c1I,9,NCS1-am-set-1,NCS1-x0939,OK: No comment:No comment,success,1.997,2 - PANDDA model,True,D2R-12,False,True,,,,,,,,x0252-2B,x0485-0A,,,,,False,22.178347,1.7197316
Ric8inhib-1-frag-placed-929,Cc1oc(S(=O)(=O)N2CCOCC2)cc1C(=O)Nc1c(N)cc(F)cc1F,9,NCS1-am-set-1,NCS1-x0940,OK: No comment:No comment,success,2.007,3 - In Refinement,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,,False,-21.803574,18.404701
Ric8inhib-1-frag-placed-255,Cc1oc(S(=O)(=O)N(C)C)cc1C(=O)Nc1ccc(F)c2cn[nH]c12,9,NCS1-am-set-1,FALSE,FAIL: No comment:No comment,FALSE,0.0,5 - Deposition ready,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,,False,21.589941,-15.947531
D2R-12-frag-placed-153,CC(=O)Nc1cc(C(=O)N2CC(F)CC2c2nc(-c3ccccn3)no2)cc(NC(C)=O)c1C,9,NCS1-am-set-1,NCS1-x0941,OK: No comment:No comment,success,1.958,3 - In Refinement,True,D2R-12,False,True,,,,,,,,x0252-2B,x0485-0A,,,,,False,16.741535,-0.41309056
Ric8inhib-1-frag-placed-1564,Cc1oc(S(=O)(=O)N2CCCC2)cc1C(=O)Nc1c(N)c(Br)cc(F)c1Br,9,NCS1-am-set-1,NCS1-x0942,OK: No comment:No comment,success,2.111,3 - In Refinement,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,,False,-28.181416,8.599493
Ric8inhib-1-frag-placed-893,Cc1oc(S(=O)(=O)N2CCOCC2)cc1C(=O)Nc1ccc(F)c(CO)c1,9,NCS1-am-set-1,NCS1-x0943,OK: No comment:No comment,Failed - low resolution,3.77,2 - PANDDA model,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,,False,-6.888647,15.091329
Ric8inhib-1-frag-placed-900,Cc1oc(S(=O)(=O)N2CCCC2)cc1C(=O)Nc1ccc(F)c2cn[nH]c12,9,NCS1-am-set-1,NCS1-x0944,OK: No comment:No comment,success,1.762,3 - In Refinement,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,,False,-3.0057552,-2.8840835
Ric8inhib-1-frag-placed-1092,CC(=O)c1cc(NC(=O)c2cc(S(=O)(=O)N3CCCC3)oc2C)ccc1F,9,NCS1-am-set-1,NCS1-x0945,OK: No comment:No comment,FALSE,0.0,2 - PANDDA model,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,,False,-5.9952626,7.194214
Ric8inhib-1-frag-placed-1595,Cc1oc(S(=O)(=O)N2CCCCC2)cc1C(=O)Nc1c(N)cc(F)c(F)c1F,9,NCS1-am-set-1,NCS1-x0946,OK: No comment:No comment,FALSE,0.0,1 - Analysis Pending,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,,False,-24.408436,9.25058
Ric8inhib-1-frag-placed-386,Cc1oc(S(=O)(=O)N(C)C)cc1C(=O)Nc1ccc(F)cc1C(C)C,9,NCS1-am-set-1,NCS1-x0947,OK: No comment:No comment,FALSE,0.0,1 - Analysis Pending,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,,False,17.625156,-15.706016
Ric8inhib-1-frag-placed-638,Cc1oc(S(=O)(=O)N2CCCC2)cc1C(=O)Nc1cc(F)c(F)cc1N,9,NCS1-am-set-1,FALSE,FAIL: No comment:No comment,FALSE,0.0,5 - Deposition ready,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,,False,-22.23298,2.9148788
Ric8inhib-1-frag-placed-324,Cc1oc(S(=O)(=O)N(C)C)cc1C(=O)Nc1c(Br)cc(F)c(F)c1F,9,NCS1-am-set-1,NCS1-x0948,OK: No comment:No comment,Failed - low resolution,5.53,1 - Analysis Pending,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,,False,24.087109,-25.14353
Ric8inhib-1-frag-placed-689,Cc1cc(NC(=O)c2cc(S(=O)(=O)N3CCCCC3)oc2C)cc(C)c1F,9,NCS1-am-set-1,NCS1-x0949,OK: No comment:No comment,FALSE,0.0,1 - Analysis Pending,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,,False,-9.870045,6.898276
CSSS00121613715-x0071-0B-x0119-2B-frag-118,Cc1c(C(=O)N2CCN(C3c4ccccc4-c4ccccc43)CC2)sc2c(Cl)cccc12,9,NCS1-am-set-1,NCS1-x0950,OK: No comment:No comment,success,2.04,3 - In Refinement,True,Ric8inhibitor-3,False,True,,,,,,,,x0071-0B,x0119-2B,,,,,False,-3.5199542,-19.683556
Ric8inhib-1-frag-placed-446,Cc1oc(S(=O)(=O)N2CCCC2)cc1C(=O)N(C)c1ccc(F)cc1N,9,NCS1-am-set-1,NCS1-x0951,OK: No comment:No comment,success,2.268,2 - PANDDA model,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,,False,3.7653599,1.7947147
Ric8inhib-1-frag-placed-343,Cc1oc(S(=O)(=O)N2CCOCC2)cc1C(=O)Nc1ccc(F)cc1,9,NCS1-am-set-1,FALSE,FAIL: No comment:No comment,FALSE,0.0,5 - Deposition ready,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,,False,-8.351393,15.401236
Ric8inhib-1-frag-placed-135,Cc1oc(S(=O)(=O)N(C)C)cc1C(=O)N(N)c1ccc(F)cc1Cl,9,NCS1-am-set-1,NCS1-x0952,OK: No comment:No comment,success,2.21,1 - Analysis Pending,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,,False,13.415242,-12.219537
Ric8inhib-1-frag-placed-76,Cc1oc(S(=O)(=O)N(C)C)cc1C(=O)Nc1ccc(F)c(C)c1C,9,NCS1-am-set-1,NCS1-x0953,OK: No comment:No comment,success,1.853,1 - Analysis Pending,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,,False,21.139364,-17.467232
Ric8inhib-1-frag-placed-1681,Cc1oc(S(=O)(=O)N2CCCCC2)cc1C(=O)Nc1c(Br)cc(F)c(Cl)c1Br,9,NCS1-am-set-1,NCS1-x0954,OK: No comment:No comment,FALSE,0.0,1 - Analysis Pending,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,,False,-29.089312,9.848755
Ric8inhib-1-frag-placed-564,Cc1oc(S(=O)(=O)N2CCCCC2)cc1C(=O)Nc1ccc(F)cc1O,9,NCS1-am-set-1,NCS1-x0955,OK: No comment:No comment,success,2.096,1 - Analysis Pending,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,,False,-9.700838,-0.73305607
Ric8inhib-1-frag-placed-1458,Cc1oc(S(=O)(=O)N2CCOCC2)cc1C(=O)Nc1ccc(F)c2cn[nH]c12,9,NCS1-am-set-1,NCS1-x0956,OK: No comment:No comment,FALSE,0.0,1 - Analysis Pending,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,,False,-2.4980474,-2.9700322
Ric8inhib-1-frag-placed-854,Cc1oc(S(=O)(=O)N2CCOCC2)cc1C(=O)Nc1ccc(F)c(I)c1F,9,NCS1-am-set-1,FALSE,FAIL: No comment:No comment,FALSE,0.0,5 - Deposition ready,True,Ric8inhibitor-1,True,True,,,,,,,,x0119-2B,x0311-1A,,4.450297,,,False,-11.329409,15.361474
Ric8inhib-1-frag-placed-792,Cc1oc(S(=O)(=O)N2CCCCC2)cc1C(=O)Nc1ccc(F)c(C)c1F,9,NCS1-am-set-1,FALSE,FAIL: No comment:No comment,FALSE,0.0,FALSE,True,Ric8inhibitor-1,True,True,,,,,,,,x0119-2B,x0311-1A,5.542317,4.876136,,,False,-12.764623,2.499124
Ric8inhib-1-frag-placed-1895,COc1cc([N+](=O)[O-])c(NC(=O)c2cc(S(=O)(=O)N3CCOCC3)oc2C)cc1F,9,NCS1-am-set-1,NCS1-x0957,OK: No comment:No comment,success,2.82,1 - Analysis Pending,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,,False,-12.321831,10.384722
CSSS00121613715-x0071-0B-x0119-2B-frag-15,O=C(c1sc2ccccc2c1Cl)N1CCN(C2c3ccccc3-c3ccccc32)CC1,9,NCS1-am-set-1,NCS1-x0958,OK: No comment:No comment,success,3.58,1 - Analysis Pending,True,Ric8inhibitor-3,False,True,,,,,,,,x0071-0B,x0119-2B,,,,,False,-3.955535,-19.057646
Ric8inhib-1-frag-placed-1259,Cc1oc(S(=O)(=O)N2CCOCC2)cc1C(=O)Nc1c(Br)cc(F)c(Cl)c1Br,9,NCS1-am-set-1,NCS1-x0959,OK: No comment:No comment,FALSE,0.0,1 - Analysis Pending,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,,False,-19.973423,21.134502
Ric8inhib-1-frag-placed-1663,CNc1cc(F)cc(Br)c1NC(=O)c1cc(S(=O)(=O)N2CCCCC2)oc1C,9,NCS1-am-set-1,FALSE,FAIL: No comment:No comment,FALSE,0.0,FALSE,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,,False,-29.405653,12.214044
Ric8inhib-1-frag-placed-1568,Cc1oc(S(=O)(=O)N2CCCC2)cc1C(=O)Nc1cc(Br)c(F)cc1C(=O)O,9,NCS1-am-set-1,NCS1-x0960,OK: No comment:No comment,FALSE,0.0,1 - Analysis Pending,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,,False,-26.069096,0.53207874
Ric8inhib-1-frag-placed-1198,COc1cc(NC(=O)c2cc(S(=O)(=O)N3CCCC3)oc2C)c(Cl)cc1F,9,NCS1-am-set-1,NCS1-x0961,OK: No comment:No comment,FALSE,0.0,1 - Analysis Pending,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,,False,-15.637354,9.438968
CSSS00121613715-x0071-0B-x0119-2B-frag-73,Cc1c(C(=O)N2CCN(C3c4ccccc4-c4ccccc43)CC2)sc2cccc(Cl)c12,9,NCS1-am-set-1,NCS1-x0962,OK: No comment:No comment,success,2.055,1 - Analysis Pending,True,Ric8inhibitor-3,False,True,,,,,,,,x0071-0B,x0119-2B,,,,,False,-3.7812796,-19.815416
Ric8inhib-1-frag-placed-66,Cc1cc(NC(=O)c2cc(S(=O)(=O)N(C)C)oc2C)c(Cl)cc1F,9,NCS1-am-set-1,NCS1-x0963,OK: No comment:No comment,success,0.82,1 - Analysis Pending,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,,False,17.71859,-20.217377
Ric8inhib-1-frag-placed-996,Cc1oc(S(=O)(=O)N2CCOCC2)cc1C(=O)N(C)c1ccc(F)cc1Br,9,NCS1-am-set-1,NCS1-x0964,OK: No comment:No comment,Failed - low resolution,3.67,1 - Analysis Pending,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,,False,5.121817,2.6227176
Ric8inhib-1-frag-placed-6,Cc1oc(S(=O)(=O)N(C)C)cc1C(=O)Nc1ccc(F)cc1Cl,9,NCS1-am-set-1,NCS1-x0965,OK: No comment:No comment,FALSE,0.0,1 - Analysis Pending,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,,False,18.34038,-16.634075
Ric8inhib-1-frag-placed-1352,Cc1oc(S(=O)(=O)N2CCOCC2)cc1C(=O)Nc1ccc(F)cc1[N+](=O)[O-],9,NCS1-am-set-1,NCS1-x0966,OK: No comment:No comment,success,2.151,1 - Analysis Pending,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,,False,-14.407803,-5.2643003
Ric8inhib-1-frag-placed-1606,Cc1oc(S(=O)(=O)N2CCCCC2)cc1C(=O)Nc1cc(F)c(F)cc1C#N,9,NCS1-am-set-1,NCS1-x0967,OK: No comment:No comment,success,2.892,1 - Analysis Pending,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,,False,-18.619614,0.6532593
Ric8inhib-1-frag-placed-1384,Cc1oc(S(=O)(=O)N2CCOCC2)cc1C(=O)Nc1c(F)cc(F)cc1C#N,9,NCS1-am-set-1,NCS1-x0968,OK: No comment:No comment,FALSE,0.0,1 - Analysis Pending,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,,False,-22.639725,19.7871
Ric8inhib-1-frag-placed-1459,COc1cc(F)cc(Br)c1NC(=O)c1cc(S(=O)(=O)N2CCOCC2)oc1C,9,NCS1-am-set-1,NCS1-x0969,OK: No comment:No comment,Failed - low resolution,3.52,1 - Analysis Pending,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,,False,-22.145992,21.790459
Ric8inhib-1-frag-placed-1579,Cc1oc(S(=O)(=O)N2CCCCC2)cc1C(=O)Nc1cc(N)c(Br)cc1F,9,NCS1-am-set-1,FALSE,FAIL: No comment:No comment,FALSE,0.0,FALSE,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,,False,-25.875353,4.2413836
CSSB03437012178-x0119-0B-x0128-0B-frag-301,COc1ccc2cc(C(=O)NCC(c3cc4ccccc4o3)N(C)C)n(C(=O)c3cccc(C#N)c3O)c2c1,9,NCS1-am-set-1,NCS1-x0970,OK: No comment:No comment,success,1.897,1 - Analysis Pending,True,CB1R-5,False,True,,,,,,,,x0119-0B,x0128-0B,,,,,False,37.841293,-13.035149
Ric8inhib-1-frag-placed-334,Cc1oc(S(=O)(=O)N(C)C)cc1C(=O)Nc1cc(F)cc(F)c1N,9,NCS1-am-set-1,NCS1-x0971,OK: No comment:No comment,success,1.965,1 - Analysis Pending,True,Ric8inhibitor-1,False,True,,,,1.305,0.091923882,1.24,1.37,x0119-2B,x0311-1A,,,,,True,20.141321,-24.437468
Ric8inhib-1-frag-placed-38,Cc1oc(S(=O)(=O)N(C)C)cc1C(=O)Nc1c(N)cc(F)cc1Br,9,NCS1-am-set-1,NCS1-x0972,OK: No comment:No comment,success,2.239,1 - Analysis Pending,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,,False,26.012419,-25.610052
Ric8inhib-1-frag-placed-1648,Cc1oc(S(=O)(=O)N2CCCCC2)cc1C(=O)N(c1ccc(F)cc1)C(C)C,9,NCS1-am-set-1,FALSE,FAIL: No comment:No comment,FALSE,0.0,FALSE,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,,False,4.2517047,5.141679
D2R-12-frag-placed-447,CCC(=O)Nc1cc(NC(=O)CC)cc(C(=O)NC(CCSC)c2nc(-c3ccccn3)no2)c1,9,NCS1-am-set-1,FALSE,FAIL: No comment:No comment,FALSE,0.0,FALSE,True,D2R-12,False,True,,,,,,,,x0252-2B,x0485-0A,,,,,False,20.89309,0.68255115
D2R-12-frag-placed-83,O=C(NCc1nc(-c2ccccn2)no1)c1cc(N2CCCC2=O)cc(N2CCCC2=O)c1,9,NCS1-am-set-1,FALSE,FAIL: No comment:No comment,FALSE,0.0,FALSE,True,D2R-12,False,True,,,,,,,,x0252-2B,x0485-0A,,,,,False,18.196926,1.6430098
Ric8inhib-1-frag-placed-978,Cc1cc(F)c(F)cc1NC(=O)c1cc(S(=O)(=O)N2CCOCC2)oc1C,9,NCS1-am-set-1,FALSE,FAIL: No comment:No comment,FALSE,0.0,FALSE,True,Ric8inhibitor-1,False,True,,,,,,,,x0119-2B,x0311-1A,,,,,False,-15.935931,14.234743
CSSB03437012178-x0119-0B-x0128-0B-frag-281,COc1ccc2cc(C(=O)NCC(c3cc4ccccc4o3)N(C)C)n(C(=O)c3cc(F)cc(C#N)c3)c2c1,9,NCS1-am-set-1,NCS1-x0973,OK: No comment:No comment,success,3.257,1 - Analysis Pending,True,CB1R-5,False,True,,,,,,,,x0119-0B,x0128-0B,,,,,False,36.48528,-13.554263
D2R-12-frag-placed-112,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)N(C)Cc2nc(-c3ccccn3)no2)c1I,9,NCS1-am-batch-1,NCS1-x1008,OK: No comment:No comment,success,3.12,3 - In Refinement,True,D2R-12,False,True,,,,,,,,x0252-2B,x0485-0A,,,,,False,20.46682,-1.7855756
D2R-12-frag-placed-527,CSCCC(NC(=O)c1c(I)c(NC(C)=O)c(I)c(NC(C)=O)c1I)c1nc(-c2ccccn2)no1,9,NCS1-am-batch-1,NCS1-x1010,OK: No comment:No comment,FALSE,0.0,2 - PANDDA model,True,D2R-12,False,True,,,,,,,,x0252-2B,x0485-0A,,,,,False,22.095604,0.5963567
D2R-12-frag-placed-10,CC(=O)Nc1cc(C(=O)N(C)Cc2nc(-c3ccccn3)no2)cc(NC(C)=O)c1C,9,NCS1-am-batch-1,NCS1-x1011,OK: No comment:No comment,FALSE,0.0,1 - Analysis Pending,True,D2R-12,False,True,,,,,,,,x0252-2B,x0485-0A,,,,,False,19.714287,-1.9462037
D2R-12-frag-placed-599,CC(=O)Nc1cc(C(=O)NC(CCS(C)(=O)=O)c2nc(-c3ccccn3)no2)cc(NC(C)=O)c1C,9,NCS1-am-batch-1,NCS1-x1012,OK: No comment:No comment,success,1.755,1 - Analysis Pending,True,D2R-12,False,True,,,,,,,,x0252-2B,x0485-0A,,,,,False,21.515709,2.5670073
D2R-12-frag-placed-495,CC(=O)Nc1cc(NC(C)=O)c([N+](=O)[O-])c(C(=O)N2CC(F)CC2c2nc(-c3ccccn3)no2)c1,9,NCS1-am-batch-1,NCS1-x1014,OK: No comment:No comment,success,1.897,1 - Analysis Pending,True,D2R-12,False,True,,,,,,,,x0252-2B,x0485-0A,,,,,False,16.80513,-0.7769873
D2R-12-frag-placed-62,CC(=O)Nc1cc(NC(C)=O)c([N+](=O)[O-])c(C(=O)NCc2nc(-c3ccccn3)no2)c1,9,NCS1-am-batch-1,NCS1-x1015,OK: No comment:No comment,FALSE,0.0,1 - Analysis Pending,True,D2R-12,False,True,,,,,,,,x0252-2B,x0485-0A,,,,,False,18.474443,-1.112589
D2R-12-frag-placed-20,CC(=O)Nc1cc(NC(C)=O)c(C)c(C(=O)N(C)Cc2nc(-c3ccccn3)no2)c1,9,NCS1-am-batch-1,NCS1-x1016,OK: No comment:No comment,success,1.605,1 - Analysis Pending,True,D2R-12,False,True,,,,,,,,x0252-2B,x0485-0A,,,,,False,19.43046,-1.8981223
D2R-12-frag-placed-624,CC(=O)Nc1cc(NC(C)=O)c(C)c(C(=O)NC(CCS(C)(=O)=O)c2nc(-c3ccccn3)no2)c1,9,NCS1-am-batch-1,NCS1-x1017,OK: No comment:No comment,success,1.961,3 - In Refinement,True,D2R-12,False,True,,,,,,,,x0252-2B,x0485-0A,,,,,False,21.63214,2.6845417
D2R-12-frag-placed-3,CC(=O)Nc1cc(NC(C)=O)cc(C(=O)N(C)Cc2nc(-c3ccccn3)no2)c1,9,NCS1-am-batch-1,NCS1-x1018,OK: No comment:No comment,success,1.657,1 - Analysis Pending,True,D2R-12,False,True,,,,,,,,x0252-2B,x0485-0A,,,,,False,19.760798,-1.3738899
D2R-12-frag-placed-425,CC(=O)Nc1cc(NC(C)=O)cc(C(=O)NC(CCS(C)(=O)=O)c2nc(-c3ccccn3)no2)c1,9,NCS1-am-batch-1,NCS1-x1019,OK: No comment:No comment,success,1.789,3 - In Refinement,True,D2R-12,False,True,,,,,,,,x0252-2B,x0485-0A,,,,,False,21.248451,2.0231607
D2R-12-frag-placed-126,CSCCC(NC(=O)c1cc(NC(C)=O)cc(NC(C)=O)c1)c1nc(-c2ccccn2)no1,9,NCS1-am-batch-1,NCS1-x1020,OK: No comment:No comment,success,4.05,7 - Analysed & Rejected,True,D2R-12,False,True,,,,,,,,x0252-2B,x0485-0A,,,,,False,21.27178,0.63049626
D2R-12-frag-placed-206,CC(C)C(=O)Nc1cc(NC(=O)C(C)C)cc(C(=O)N(C)Cc2nc(-c3ccccn3)no2)c1,9,NCS1-am-batch-1,NCS1-x1022,OK: No comment:No comment,success,2.09,1 - Analysis Pending,True,D2R-12,False,True,,,,,,,,x0252-2B,x0485-0A,,,,,False,19.838062,-0.86515576
